"Location_skey";"Country";"State";"Region";"City";"Address";"PostalCode";"District";"SubDistrict";"SubSubDistrict";"SubSubSubDistrict";"DistrictCode";"SubDistrictCode";"SubSubDistrictCode";"SubSubSubDistrictCode";"Latitude";"Longitude";"IsGarage";"NameGarage"
"143";"NLD";"NH";"Amsterdam";"Amsterdam";"Gerrit van der Veenstraat 177";"1077EB";"Zuid";"Apollobuurt";"Minervabuurt Midden";"Minervabuurt Midden";"K";"K49";"K49e";"-1";52.348539;4.867581;NA;NA
"361";"NLD";"NH";"Amsterdam";"Amsterdam";"Bloemgracht 144";"1015TR";"Centrum";"Jordaan";"Bloemgrachtbuurt";"Bloemgrachtbuurt";"A";"A06";"A06c";"-1";52.374269;4.878635;NA;NA
"610";"NLD";"NH";"Amsterdam";"Amsterdam";"Bos en Lommerweg 244";"1055EJ";"West";"Landlust";"Bosleeuw";"Bosleeuw";"E";"E37";"E37c";"-1";52.378389;4.847879;NA;NA
"757";"NLD";"NH";"Amsterdam";"Amsterdam";"Prinsengracht 436";"1017KE";"Centrum";"De Weteringschans";"Leidsebuurt Noordwest";"Leidsebuurt Noordwest";"A";"A07";"A07a";"-1";52.3654297;4.8833807;NA;NA
"1085";"NLD";"NH";"Amsterdam";"Amsterdam";"De Boelelaan 30";"1083HJ";"Zuid";"Zuidas";"Vivaldi";"Vivaldi";"K";"K23";"K23e";"-1";52.334989;4.886583;NA;NA
"1263";"NLD";"NH";"Amsterdam";"Amsterdam";"Kantershof 633";"1104HJ";"Zuidoost";"Bijlmer Oost (E,G,K)";"Kantershof";"Kantershof";"T";"T94";"T94k";"-1";52.320093;4.98618;NA;NA
"21";"NLD";"NH";"Amsterdam";"Amsterdam";"Jan Puntstraat 4";"1065MB";"Nieuw West";"Slotervaart Zuid";"Jacques Veldmanbuurt";"Jacques Veldmanbuurt";"F";"F89";"F89b";"-1";52.355889;4.828554;NA;NA
"231";"NLD";"NH";"Amsterdam";"Amsterdam";"Buitendijk 1";"1035KG";"Noord";"Oostzanerwerf";"Twiske West";"Twiske West";"N";"N66";"N66d";"-1";52.423942;4.895873;NA;NA
"354";"NLD";"NH";"Amsterdam";"Amsterdam";"Jan Evertsenstraat 747";"1061XZ";"Nieuw West";"Overtoomse Veld";"Overtoomse Veld Noord";"Overtoomse Veld Noord";"F";"F86";"F86a";"-1";52.369969;4.834869;NA;NA
"539";"NLD";"NH";"Amsterdam";"Amsterdam";"Kamerlingh Onneslaan 40";"1097DH";"Oost";"Frankendael";"Don Bosco";"Don Bosco";"M";"M55";"M55d";"-1";52.351687;4.927396;NA;NA
"683";"NLD";"NH";"Amsterdam";"Amsterdam";"Galileiplantsoen 56";"1098NB";"Oost";"Middenmeer";"Middenmeer Zuid";"Middenmeer Zuid";"M";"M56";"M56c";"-1";52.353784;4.940188;NA;NA
"784";"NLD";"NH";"Amsterdam";"Amsterdam";"Pestalozzihof 1";"1068KH";"Nieuw West";"Osdorp Oost";"Osdorp Zuidoost";"Osdorp Zuidoost";"F";"F81";"F81e";"-1";52.352206;4.806561;NA;NA
"1152";"NLD";"NH";"Amsterdam";"Amsterdam";"Johan Huizingalaan 110";"1056JE";"Nieuw West";"Slotervaart Noord";"Emanuel van Meterenbuurt";"Emanuel van Meterenbuurt";"F";"F85";"F85b";"-1";52.361289;4.827018;NA;NA
"1185";"NLD";"NH";"Amsterdam";"Amsterdam";"Nolensstraat 56";"1067KD";"Nieuw West";"Geuzenveld";"Buurt 6";"Buurt 6";"F";"F78";"F78a";"-1";52.376051;4.800413;NA;NA
"1274";"NLD";"NH";"Amsterdam";"Amsterdam";"Gillis van Ledenberchstraat 51";"1052VA";"West";"Frederik Hendrikbuurt";"Frederik Hendrikbuurt Noord";"Frederik Hendrikbuurt Noord";"E";"E16";"E16a";"-1";52.376738;4.872253;NA;NA
"1364";"NLD";"NH";"Amsterdam";"Amsterdam";"Banstraat 33";"1071JW";"Zuid";"Museumkwartier";"Banpleinbuurt";"Banpleinbuurt";"K";"K47";"K47e";"-1";52.353154;4.875432;NA;NA
"1774";"NLD";"NH";"Amsterdam";"Amsterdam";"Professor R. Casimirstraat 48";"1068SK";"Nieuw West";"Osdorp Oost";"Osdorp Zuidoost";"Osdorp Zuidoost";"F";"F81";"F81e";"-1";52.351527;4.809474;NA;NA
"2831";"NLD";"NH";"Amsterdam";"Amsterdam";"Nicolaas Maesstraat 32";"1071RA";"Zuid";"Museumkwartier";"Banpleinbuurt";"Banpleinbuurt";"K";"K47";"K47e";"-1";52.35539;4.883378;NA;NA
"2074";"NLD";"NH";"Amsterdam";"Amsterdam";"Westermarkt 2";"1016DK";"Centrum";"Grachtengordel West";"Leidsegracht Noord";"Leidsegracht Noord";"A";"A02";"A02d";"-1";52.374767;4.884643;NA;NA
"2435";"NLD";"NH";"Amsterdam";"Amsterdam";"Bakkumstraat 2";"1024VX";"Noord";"Waterlandpleinbuurt";"Werengouw Midden";"Werengouw Midden";"N";"N68";"N68c";"-1";52.394682;4.955139;NA;NA
"2538";"NLD";"NH";"Amsterdam";"Amsterdam";"Elandsgracht 107";"1016TT";"Centrum";"Jordaan";"Elandsgrachtbuurt";"Elandsgrachtbuurt";"A";"A06";"A06g";"-1";52.3688529;4.8788928;NA;NA
"2596";"NLD";"NH";"Amsterdam";"Amsterdam";"Eerste van der Helststraat 8";"1072NV";"Zuid";"Oude Pijp";"Gerard Doubuurt";"Gerard Doubuurt";"K";"K24";"K24b";"-1";52.357109;4.892648;NA;NA
"2614";"NLD";"NH";"Amsterdam";"Amsterdam";"Wingerdweg 77";"1032AB";"Noord";"Volewijck";"Bloemenbuurt Zuid";"Bloemenbuurt Zuid";"N";"N60";"N60b";"-1";52.391981;4.916944;NA;NA
"269";"NLD";"NH";"Amsterdam";"Amsterdam";"Rooseveltlaan 238";"1078NX";"Zuid";"Scheldebuurt";"Scheldebuurt West";"Scheldebuurt West";"K";"K52";"K52b";"-1";52.342608;4.89477;NA;NA
"591";"NLD";"NH";"Amsterdam";"Amsterdam";"Admiralengracht 219";"1057EW";"West";"Hoofdweg e.o.";"Balboaplein e.o.";"Balboaplein e.o.";"E";"E42";"E42a";"-1";52.3707576;4.8561697;NA;NA
"695";"NLD";"NH";"Amsterdam";"Amsterdam";"Alexanderplein 9";"1018CG";"Centrum";"Weesperbuurt Plantage";"Alexanderplein e.o.";"Alexanderplein e.o.";"A";"A08";"A08e";"-1";52.363703;4.920166;NA;NA
"705";"NLD";"NH";"Amsterdam";"Amsterdam";"Kattenburgerstraat 28";"1018JB";"Centrum";"Oostelijke Eilanden Kadijken";"Kattenburg";"Kattenburg";"A";"A09";"A09b";"-1";52.3714247;4.9165458;NA;NA
"760";"NLD";"NH";"Amsterdam";"Amsterdam";"Laagte Kadijk 173";"1018ZD";"Centrum";"Oostelijke Eilanden Kadijken";"Kadijken";"Kadijken";"A";"A09";"A09i";"-1";52.369652;4.912498;NA;NA
"1011";"NLD";"NH";"Amsterdam";"Amsterdam";"Olympisch Stadion 21";"1076DE";"Zuid";"Stadionbuurt";"Olympisch Stadion e.o.";"Olympisch Stadion e.o.";"K";"K48";"K48d";"-1";52.343662;4.8527814;NA;NA
"1250";"NLD";"NH";"Amsterdam";"Amsterdam";"Van Gentstraat 4";"1055PE";"West";"Landlust";"Gibraltarbuurt";"Gibraltarbuurt";"E";"E37";"E37f";"-1";52.382999;4.85102;NA;NA
"1326";"NLD";"NH";"Amsterdam";"Amsterdam";"Tweede Jacob van Campenstraat 155";"1073XS";"Zuid";"Oude Pijp";"Gerard Doubuurt";"Gerard Doubuurt";"K";"K24";"K24b";"-1";52.357071;4.896753;NA;NA
"1544";"NLD";"NH";"Amsterdam";"Amsterdam";"Cornelis Troostplein 87";"1072JJ";"Zuid";"Nieuwe Pijp";"Lizzy Ansinghbuurt";"Lizzy Ansinghbuurt";"K";"K25";"K25c";"-1";52.35066;4.890524;NA;NA
"1690";"NLD";"NH";"Amsterdam";"Amsterdam";"Baarsjesweg 182";"1057HR";"West";"Chassébuurt";"De Wester Quartier";"De Wester Quartier";"E";"E75";"E75c";"-1";52.366565;4.861348;NA;NA
"1840";"NLD";"NH";"Amsterdam";"Amsterdam";"Herentalsstraat 92";"1066NM";"Nieuw West";"Sloter- Riekerpolder";"Nieuw Sloten Noordwest";"Nieuw Sloten Noordwest";"F";"F88";"F88e";"-1";52.348054;4.809784;NA;NA
"2017";"NLD";"NH";"Amsterdam";"Amsterdam";"Van Slingelandtstraat 67";"1051CG";"West";"Centrale Markt";"Markthallen";"Markthallen";"E";"E15";"E15b";"-1";52.384868;4.865194;NA;NA
"2981";"NLD";"NH";"Amsterdam";"Amsterdam";"Michelangelostraat 10";"1077CB";"Zuid";"Apollobuurt";"Minervabuurt Noord";"Minervabuurt Noord";"K";"K49";"K49d";"-1";52.349598;4.870913;NA;NA
"3173";"NLD";"NH";"Amsterdam";"Amsterdam";"Herman Heijermansweg 15";"1077WJ";"Zuid";"Apollobuurt";"Diepenbrockbuurt";"Diepenbrockbuurt";"K";"K49";"K49a";"-1";52.34638;4.885273;NA;NA
"3298";"NLD";"NH";"Amsterdam";"Amsterdam";"Lutmastraat 180";"1073HG";"Zuid";"Zuid Pijp";"Burgemeester Tellegenbuurt Oost";"Burgemeester Tellegenbuurt Oost";"K";"K26";"K26b";"-1";52.351542;4.902517;NA;NA
"3393";"NLD";"NH";"Amsterdam";"Amsterdam";"Radboud 5";"1081AR";"Zuid";"Buitenveldert West";"Buitenveldert Zuidwest";"Buitenveldert Zuidwest";"K";"K90";"K90d";"-1";52.3267258;4.8682117;NA;NA
"3490";"NLD";"NH";"Amsterdam";"Amsterdam";"Havikslaan 24";"1021EK";"Noord";"IJplein Vogelbuurt";"Vogelbuurt Zuid";"Vogelbuurt Zuid";"N";"N61";"N61b";"-1";52.385497;4.915836;NA;NA
"3837";"NLD";"NH";"Amsterdam";"Amsterdam";"Herengracht 74";"1015BR";"Centrum";"Grachtengordel West";"Langestraat e.o.";"Langestraat e.o.";"A";"A02";"A02a";"-1";52.377122;4.889859;NA;NA
